咪咕央卫,#genre#
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=202510272246148fad01b6f08b41588420176d5f0c714b&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=0640fa12b43448ca8713545b557440f8&ddCalcu=80f6e0424094f07a5152bb54435434187c8a
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=20251027224614683a8bd4fa534f89a090d6b70fd47bf0&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4b1f23822590c1a3c6d2d95d8952fa2e&ddCalcu=e42bea12ff9220539882d25599d02cd16ac3
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=2025102722461404df03b0d29c47669fcf1cbca4644a2f&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=f8a9cc03422cf9c3ab25cf8f543b2374&ddCalcu=4f78e3a2299bc03c4053f482f2cc5f29bca3
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=2025102722461452239ddf61804de9ab5eb918920ecb08&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=2de6156e2667f0877c686feca4ceb4b5&ddCalcu=52bde4e2b69e10c546aec2e6f6678f60c877
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=2025102722461415264944b147400e80d663c5caaab935&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=4ba90ee872dd7d3903c035212a7c4975&ddCalcu=547be9a2494c007eae2817225d3d07cd3309
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=2025102722461473202f3dcc924f6da42d75ee396f8802&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=497849256f24e1a33262f937066cc347&ddCalcu=7449e372c88c40696205763f92f42e612a33
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=20251027224614879140a990e54fafb2f6222eabc14eaf&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=e8908c78044948a40821d96d004daeb5&ddCalcu=5eb8ee92a09d804c0708d06494d914288a04
五环传奇,http://gslbmgsplive.miguvideo.com/wd_r2/virtuallive/5102010211/150/index.m3u8?msisdn=202510272246143aff59fe68004a55928d880241df4422&mdspid=&spid=800033&netType=0&sid=5500462658&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=707671890&ParentNodeID=-99&assertID=5500462658&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=5102010211&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=221b17a05e410f4e7ce847767cb0f5c0&ddCalcu=02c2e512fb7010b7ca70657e744180efc47e
赛事最经典,http://gslbmgsplive.miguvideo.com/migu/kailu/saishijingdian/51/20250514/index.m3u8?msisdn=20251027224614aff57a67c2e34a53af2d875fc2864c7b&mdspid=&spid=699004&netType=0&sid=5500592947&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=646596895&ParentNodeID=-99&assertID=5500592947&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=5101034296&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=6aa75677d84612798b26f81d269124f7&ddCalcu=76fae4a2276150966727dd1884f66122b789
掼蛋精英赛,http://gslbmgsplive.miguvideo.com/wd_r4/virtuallive/5101059662/150/index.m3u8?msisdn=20251027224614e9d9f9b60d2a4626b5ca1ea6cf56699f&mdspid=&spid=800033&netType=0&sid=5500341085&pid=2028597139&timestamp=20251027224614&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631354620&ParentNodeID=-99&assertID=5500341085&client_ip=106.13.250.88&SecurityKey=20251027224614&promotionId=&mvid=5101059662&mcid=500020&playurlVersion=WX-A1-8.9.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d315f084976f315f88eb0c97336297a5&ddCalcu=5da3e7129512f06038347997c60fb3e1858f
