咪咕央卫,#genre#
CGTN阿拉伯语,http://gslbmgsplive.miguvideo.com/envivo_v/SD/cctv/alabo/1000/index.m3u8?msisdn=202601150800197924491b2c5e45209a762c6e351a00bb&mdspid=&spid=699004&netType=0&sid=2200179303&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154345&ParentNodeID=-99&assertID=2200179303&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=2200179303&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=04dd03b02cf5c73081b3c37449262b22&ddCalcu=2024ebd12d9600239b40427c3fc53cb71380
CGTN西班牙语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/xibanya/1000/index.m3u8?msisdn=20260115080019597799cd258e40189c70a60998b97aa8&mdspid=&spid=699004&netType=0&sid=2200179337&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006450&ParentNodeID=-99&assertID=2200179337&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=2200179337&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=3f1c83f028cb370ab272d8691806394d&ddCalcu=d34fe9113c9680038f1092688cdb237720ba
CGTN法语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/fayu/1000/index.m3u8?msisdn=202601150800194197bd5e861640d39268e04cd5626f2e&mdspid=&spid=699004&netType=0&sid=2200179324&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006476&ParentNodeID=-99&assertID=2200179324&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=2200179324&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=de19c48bcf66199ac21becb70620bb4d&ddCalcu=dd4eeb11b990c024680b7cbfc6e6b11929ca
CGTN俄语,http://gslbmgsplive.miguvideo.com/envivo_v/2018/SD/cctv/eyu/1000/index.m3u8?msisdn=20260115080019250fd17bfb75423fa360b41e1f8680f8&mdspid=&spid=699004&netType=0&sid=2200179332&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609006446&ParentNodeID=-99&assertID=2200179332&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=2200179332&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=2ab0a9882de8f4828816eb9f53a66259&ddCalcu=925ae2b16096a0a93858f29dbee86f148882
老故事,http://gslbmgsplive.miguvideo.com/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=202601150800190bdde6d3e5ae41b39e2f294701dca59d&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=eb99be42b1ace2d7d1a601cd06826e55&ddCalcu=5e5bee916942b08e6402dbc11a0c6ea21dd7
发现之旅,http://gslbmgsplive.miguvideo.com/wd_r3/cnr/faxianzhilv/2000/index.m3u8?msisdn=20260115080019673935620d114ca899a23ba980803ca1&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=c9e110a94b35b3b19451f899da2d6d55&ddCalcu=5c59ede1614d1020aad9949b83f51b534b91
中学生,http://gslbmgsplive.miguvideo.com/migu/kailu/20210415/cctvzhongxuesheng/51/index.m3u8?msisdn=20260115080019039a45e8f2d74588a335b9292c93f355&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20260115080019&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=43.139.160.244&SecurityKey=20260115080019&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=407bf8a82b27ca37e9adfedc70cffd84&ddCalcu=4480ed71fb8ff0c80a78c2dbe2f7dcaa93e7
CGTN,http://gslbmgsplive.miguvideo.com/envivo_x/2018/SD/cctvnews/1000/index.m3u8?msisdn=20260115080020758586c8f3d84c6eb980c7d869b85820&mdspid=&spid=699004&netType=0&sid=2202196407&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609017205&ParentNodeID=-99&assertID=2202196407&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=2202196407&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=74f95e5fdcbc4c6de13020d12c6d481e&ddCalcu=e714e8f1499d506ec52f1ddc0b2c043c16ed
东方卫视,http://gslbmgsplive.miguvideo.com/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=202601150800203b845227afcf45bcabe215983f4d78a2&mdspid=&spid=600697&netType=0&sid=5910022185&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=62626fe72f1f63833bd273504a2d2867&ddCalcu=7662e861221d602fae47025f317f26d3b833
江苏卫视,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=2026011508002088273d927a1e4bf9b059ab0747455c06&mdspid=&spid=699067&netType=0&sid=5500199408&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=88e9fcad450b65da5ce87b5bcc790ac8&ddCalcu=88c8eae10939f07ccacdb455b07b86e5cd5a
北京卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/bjws/51/20251127/index.m3u8?msisdn=20260115080020efc1b4ec317549ea95b5518d8a288a8f&mdspid=&spid=600697&netType=0&sid=5910022306&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e14ec8630e7969174637a045b42bae8e&ddCalcu=ee81ee41ae0bc02846b3504e07a976396147
辽宁卫视,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/liaoningwshd/2000/index.m3u8?msisdn=2026011508002052098b8af3124512935bdde157b9e24a&mdspid=&spid=600572&netType=0&sid=5910022198&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=630291707&ParentNodeID=-99&assertID=5910022198&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=5101043014&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=d1fcb01c7544fc055674bae2354c09f1&ddCalcu=1df1e9f10c0cb040513c27e5a4b44f7c6055
河北卫视,http://gslbmgsplive.miguvideo.com/migu/kailu/hbws/51/20251225/index.m3u8?msisdn=2026011508002035b49b0e71ae456eb558bc5b89d414d7&mdspid=&spid=600725&netType=0&sid=5910022316&pid=2028597139&timestamp=20260115080020&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=962042070&ParentNodeID=-99&assertID=5910022316&client_ip=43.139.160.244&SecurityKey=20260115080020&promotionId=&mvid=5900006782&mcid=500020&playurlVersion=ZQ-A1-8.12.2-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=11f5d5d8a3d743fc8e80e09dd1eacb35&ddCalcu=5131ebf1c52ad0e51dd8da930de70483ef8c
